Commit Message,predict
This file is here so that when running from the root folder,0
./imblearn is added to sys.path by pytest.,0
See https://docs.pytest.org/en/latest/pythonpath.html for more details.,0
"For example, this allows to build extensions in place and run pytest",0
doc/modules/clustering.rst and use imblearn from the local folder,0
rather than the one from site-packages.,0
use legacy numpy print options to avoid failures due to NumPy 2.+ scalar,0
representation,0
-*- coding: utf-8 -*-,0
,0
"imbalanced-learn documentation build configuration file, created by",0
sphinx-quickstart on Mon Jan 18 14:44:12 2016.,0
,0
This file is execfile()d with the current directory set to its,0
containing dir.,0
,0
Note that not all possible configuration values are present in this,0
autogenerated file.,0
,0
All configuration values have a default; values that are commented out,0
serve to show the default.,0
"If extensions (or modules to document with autodoc) are in another directory,",0
add these directories to sys.path here. If the directory is relative to the,0
"documentation root, use os.path.abspath to make it absolute, like shown here.",0
-- General configuration ------------------------------------------------,0
"If your documentation needs a minimal Sphinx version, state it here.",0
needs_sphinx = '1.0',0
"Add any Sphinx extension module names here, as strings. They can be",0
extensions coming with Sphinx (named 'sphinx.ext.*') or your custom,0
ones.,0
Specify how to identify the prompt when copying code snippets,0
"Add any paths that contain templates here, relative to this directory.",0
The suffix of source filenames.,0
The master toctree document.,0
General information about the project.,0
"The version info for the project you're documenting, acts as replacement for",0
"|version| and |release|, also used in various other places throughout the",0
built documents.,0
,0
The short X.Y version.,0
"The full version, including alpha/beta/rc tags.",0
"List of patterns, relative to source directory, that match files and",0
directories to ignore when looking for source files.,0
The reST default role (used for this markup: `text`) to use for all,0
documents.,0
"If true, '()' will be appended to :func: etc. cross-reference text.",0
The name of the Pygments (syntax highlighting) style to use.,0
-- Options for HTML output ----------------------------------------------,0
The theme to use for HTML and HTML Help pages.  See the documentation for,0
a list of builtin themes.,0
"""navbar_align"": ""right"",  # For testing that the navbar items align properly",0
"Add any paths that contain custom static files (such as style sheets) here,",0
"relative to this directory. They are copied after the builtin static files,",0
"so a file named ""default.css"" will overwrite the builtin ""default.css"".",0
Output file base name for HTML help builder.,0
-- Options for autodoc ------------------------------------------------------,0
generate autosummary even if no references,0
-- Options for numpydoc -----------------------------------------------------,0
this is needed for some reason...,0
see https://github.com/numpy/numpydoc/issues/69,0
-- Options for sphinxcontrib-bibtex -----------------------------------------,0
bibtex file,0
-- Options for intersphinx --------------------------------------------------,0
intersphinx configuration,0
-- Options for sphinx-gallery -----------------------------------------------,0
Generate the plot for the gallery,0
sphinx-gallery configuration,0
-- Options for github link for what's new -----------------------------------,0
Config for sphinx_issues,0
The following is used by sphinx.ext.linkcode to provide links to github,0
-- Options for LaTeX output ---------------------------------------------,0
The paper size ('letterpaper' or 'a4paper').,0
"'papersize': 'letterpaper',",0
"The font size ('10pt', '11pt' or '12pt').",0
"'pointsize': '10pt',",0
Additional stuff for the LaTeX preamble.,0
"'preamble': '',",0
Grouping the document tree into LaTeX files. List of tuples,0
"(source start file, target name, title,",0
"author, documentclass [howto, manual, or own class]).",0
-- Options for manual page output ---------------------------------------,0
"If false, no module index is generated.",0
latex_domain_indices = True,0
One entry per manual page. List of tuples,0
"(source start file, name, description, authors, manual section).",0
"If true, show URL addresses after external links.",0
man_show_urls = False,0
-- Options for Texinfo output -------------------------------------------,0
Grouping the document tree into Texinfo files. List of tuples,0
"(source start file, target name, title, author,",0
"dir menu entry, description, category)",0
-- Dependencies generation ----------------------------------------------,0
get length of header,0
-- Additional temporary hacks -----------------------------------------------,0
get the styles from the current theme,0
create and add the button to all the code blocks that contain >>>,0
tracebacks (.gt) contain bare text elements that need to be,0
wrapped in a span to work with .nextUntil() (see later),0
define the behavior of the button when it's clicked,0
hide the code output,0
show the code output,0
-*- coding: utf-8 -*-,0
Format template for issues URI,0
e.g. 'https://github.com/sloria/marshmallow/issues/{issue},0
Format template for PR URI,0
