Commit Message,predict
add developer tools,0
bumpversion 0.13.0,0
DOC update dependencies in the documentation,0
DOC add entry in changelog,0
"FIX forward properly the metadata with the pipeline (#1115)

* FIX forward properly the metadata with the pipeline

* older sklearn",0
MAINT use public import for metadata routing (#1113),0
Rework `introduction.rst` (#1110),0
MAINT remove deprecated params for 0.13 (#1112),0
MAINT update _sklearn_compat file,0
MAINT compatibility sklearn 1.6 (#1109),0
"Bump codecov/codecov-action from 5.0.7 to 5.1.1 in the actions group (#1108)

Bumps the actions group with 1 update: [codecov/codecov-action](https://github.com/codecov/codecov-action).


Updates `codecov/codecov-action` from 5.0.7 to 5.1.1
- [Release notes](https://github.com/codecov/codecov-action/releases)
- [Changelog](https://github.com/codecov/codecov-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/codecov/codecov-action/compare/v5.0.7...v5.1.1)

---
updated-dependencies:
- dependency-name: codecov/codecov-action
  dependency-type: direct:production
  update-type: version-update:semver-minor
  dependency-group: actions
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
"Bump codecov/codecov-action in the actions group across 1 directory (#1106)

Bumps the actions group with 1 update in the / directory: [codecov/codecov-action](https://github.com/codecov/codecov-action).


Updates `codecov/codecov-action` from 4.6.0 to 5.0.7
- [Release notes](https://github.com/codecov/codecov-action/releases)
- [Changelog](https://github.com/codecov/codecov-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/codecov/codecov-action/compare/v4.6.0...v5.0.7)

---
updated-dependencies:
- dependency-name: codecov/codecov-action
  dependency-type: direct:production
  update-type: version-update:semver-major
  dependency-group: actions
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
MAINT cosmetic follow-up switch pixi + GitHub Actions (#1100),0
"Bump codecov/codecov-action from 4.5.0 to 4.6.0 in the actions group (#1099)

Bumps the actions group with 1 update: [codecov/codecov-action](https://github.com/codecov/codecov-action).


Updates `codecov/codecov-action` from 4.5.0 to 4.6.0
- [Release notes](https://github.com/codecov/codecov-action/releases)
- [Changelog](https://github.com/codecov/codecov-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/codecov/codecov-action/compare/v4.5.0...v4.6.0)

---
updated-dependencies:
- dependency-name: codecov/codecov-action
  dependency-type: direct:production
  update-type: version-update:semver-minor
  dependency-group: actions
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
MAINT switch CI to use pixi and Github Actions(#1098),0
MAINT compatibility scikit-learn 1.5.2 and Numpy 2 (#1097),0
MAINT avoid warning deprecation sklearn 1.5 (#1084),0
DOC change version for compatibility sklearn 1.5,0
DOC improve rendering of the documentation (#1076),0
MAINT compatibility sklearn 1.5 (#1074),0
"MAINT Improve pipeline's validation readability (#1066)

Co-authored-by: Guillaume Lemaitre <guillaume@probabl.ai>",0
FIX change the way we check for a specific Python version in the test suite (#1075),1
MAINT update the python version supported (#1073),0
"MAINT drop disutils and use scikit-learn fixes instead (#1065)

Co-authored-by: Nilesh Patra <nilesh@debian.org>
Co-authored-by: Guillaume Lemaitre <guillaume@probabl.ai>",0
"FIX InstanceHardnessThreshold accepts classifier included in a Pipeline (#1049)

Co-authored-by: Guillaume Lemaitre <guillaume@probabl.ai>",0
MAINT update tests and import for sklearn 1.4.1 (#1072),0
DOC fix hyperlink,0
bumversion 0.13.0.dev0,0
DOC move entries from 0.11.1 to 0.12.0,0
